order_id,user_id,product_id,quantity,unit_price,order_ts,status,event_date
37,76.0,21.0,3,27.85,2026-02-01 15:15:32,PAID,2026-02-01
38,54.0,22.0,1,117.34,2026-02-03 19:26:15,PAID,2026-02-03
39,13.0,25.0,5,91.93,2026-02-07 08:58:49,PAID,2026-02-07
40,54.0,26.0,3,43.85,2026-02-03 20:31:46,PAID,2026-02-03
41,67.0,23.0,3,112.33,2026-02-08 21:02:55,PAID,2026-02-08
42,23.0,,2,63.49,2026-02-06 21:31:46,PAID,2026-02-06
43,45.0,22.0,4,30.85,2026-02-06 17:35:27,PAID,2026-02-06
44,54.0,23.0,3,-55.99,2026-02-01 11:04:12,PAID,2026-02-01
45,31.0,23.0,5,59.75,2026-02-08 03:26:27,PAID,2026-02-08
46,17.0,21.0,4,54.29,2026-02-05 05:25:02,REFUNDED,2026-02-05
47,46.0,18.0,1,44.79,2026-02-02 10:23:57,PAID,2026-02-02
48,63.0,17.0,4,12.37,2026-02-05 05:40:47,PAID,2026-02-05
49,15.0,13.0,5,112.9,2026-02-04 02:54:11,PAID,2026-02-04
50,11.0,28.0,4,111.85,2026-02-06 10:18:29,PAID,2026-02-06
51,39.0,17.0,3,47.29,2026-02-08 08:25:12,PAID,2026-02-08
52,42.0,2.0,3,41.35,2026-02-04 21:08:45,PAID,2026-02-04
53,5.0,20.0,2,28.92,2026-02-06 18:36:21,PAID,2026-02-06
54,21.0,7.0,3,59.74,2026-02-04 06:32:53,PAID,2026-02-04
55,51.0,28.0,1,109.24,2026-02-04 21:49:08,PAID,2026-02-04
56,30.0,25.0,0,52.87,2026-02-09 05:12:49,PAID,2026-02-09
57,23.0,30.0,4,97.92,2026-02-08 01:52:53,PAID,2026-02-08
58,18.0,6.0,5,19.76,2026-02-04 16:38:11,PAID,2026-02-04
59,30.0,20.0,3,27.0,2026-02-04 18:01:51,CANCELLED,2026-02-04
60,4.0,6.0,3,76.6,2026-02-04 22:53:31,PAID,2026-02-04
61,11.0,6.0,4,24.78,2026-02-07 08:40:46,PAID,2026-02-07
62,54.0,29.0,3,24.65,2026-02-08 01:29:27,PAID,2026-02-08
63,63.0,10.0,5,23.37,2026-02-03 08:03:08,PAID,2026-02-03
64,65.0,5.0,5,85.77,2026-02-02 22:16:14,PAID,2026-02-02
65,16.0,4.0,2,85.59,2026-02-08 14:38:25,CANCELLED,2026-02-08
66,30.0,26.0,1,95.92,2026-02-04 14:31:47,PAID,2026-02-04
67,25.0,1.0,1,52.16,2026-02-06 22:13:14,PAID,2026-02-06
68,56.0,18.0,4,78.27,2026-02-05 01:19:32,PAID,2026-02-05
69,39.0,4.0,4,118.95,2026-02-02 12:14:25,PAID,2026-02-02
70,33.0,9.0,1,16.9,2026-02-05 04:59:57,PAID,2026-02-05
71,23.0,8.0,3,28.8,2026-02-02 17:50:18,PAID,2026-02-02
72,55.0,12.0,3,119.24,2026-02-05 19:11:51,PAID,2026-02-05
73,30.0,16.0,5,31.4,2026-02-05 04:09:52,PAID,2026-02-05
74,1.0,21.0,4,117.98,2026-02-01 06:39:23,PAID,2026-02-01
75,24.0,22.0,2,32.82,2026-02-08 19:40:32,PAID,2026-02-08
76,49.0,19.0,3,96.28,2026-02-09 23:42:36,PAID,2026-02-09
77,12.0,30.0,4,36.94,2026-02-07 14:17:39,PAID,2026-02-07
78,19.0,15.0,2,16.84,2026-02-08 12:55:46,PAID,2026-02-08
79,17.0,7.0,1,13.33,2026-02-06 19:53:31,PAID,2026-02-06
80,25.0,11.0,2,64.38,2026-02-03 08:03:38,PAID,2026-02-03
81,39.0,9.0,3,20.75,2026-02-04 21:25:28,PAID,2026-02-04
82,30.0,12.0,4,103.25,2026-02-01 06:01:26,PAID,2026-02-01
83,80.0,13.0,3,80.41,2026-02-03 09:03:48,PAID,2026-02-03
84,53.0,8.0,3,28.31,2026-02-06 20:12:31,PAID,2026-02-06
85,63.0,12.0,3,23.19,2026-02-01 18:54:39,PAID,2026-02-01
86,7.0,22.0,4,79.07,2026-02-01 07:19:28,PAID,2026-02-01
87,17.0,9.0,2,110.64,2026-02-05 14:15:13,PAID,2026-02-05
88,76.0,23.0,2,114.93,2026-02-03 23:54:23,PAID,2026-02-03
89,51.0,13.0,1,66.82,2026-02-05 14:45:44,REFUNDED,2026-02-05
90,55.0,6.0,3,66.55,2026-02-09 06:27:20,PAID,2026-02-09
91,59.0,26.0,1,62.24,2026-02-09 10:25:34,PAID,2026-02-09
92,13.0,5.0,2,106.25,2026-02-03 23:44:25,PAID,2026-02-03
93,62.0,11.0,2,89.58,2026-02-06 19:27:12,PAID,2026-02-06
94,55.0,4.0,3,102.45,2026-02-01 21:03:00,PAID,2026-02-01
95,72.0,5.0,2,23.87,2026-02-04 05:24:32,PAID,2026-02-04
96,1.0,,3,116.62,2026-02-07 05:44:26,CANCELLED,2026-02-07
97,36.0,3.0,5,79.92,2026-02-03 23:25:45,PAID,2026-02-03
98,80.0,7.0,4,9.45,2026-02-01 16:03:44,PAID,2026-02-01
99,26.0,17.0,5,-87.5,2026-02-07 16:01:39,PAID,2026-02-07
100,20.0,5.0,5,23.84,2026-02-08 18:42:53,PAID,2026-02-08
101,58.0,1.0,3,102.85,2026-02-05 23:42:36,PAID,2026-02-05
102,16.0,5.0,2,95.06,2026-02-07 12:26:32,CANCELLED,2026-02-07
103,72.0,29.0,4,77.76,2026-02-07 23:32:50,REFUNDED,2026-02-07
104,59.0,11.0,4,105.66,2026-02-05 19:05:17,PAID,2026-02-05
105,69.0,23.0,5,73.02,2026-02-09 19:18:13,PAID,2026-02-09
106,62.0,29.0,4,88.11,2026-02-04 07:51:23,PAID,2026-02-04
107,75.0,30.0,2,41.33,2026-02-04 14:06:59,PAID,2026-02-04
108,7.0,29.0,3,53.91,2026-02-01 10:09:46,PAID,2026-02-01
109,70.0,7.0,2,30.06,2026-02-07 05:12:02,CANCELLED,2026-02-07
110,37.0,,2,53.07,2026-02-06 10:44:50,PAID,2026-02-06
111,1.0,28.0,4,55.12,2026-02-04 18:56:19,PAID,2026-02-04
112,31.0,29.0,1,103.35,2026-02-02 17:28:51,CANCELLED,2026-02-02
113,74.0,3.0,4,-100.44,2026-02-07 16:48:58,PAID,2026-02-07
114,71.0,28.0,5,-101.36,2026-02-02 02:12:46,PAID,2026-02-02
115,68.0,17.0,4,105.37,2026-02-09 09:53:48,REFUNDED,2026-02-09
116,50.0,20.0,5,71.28,2026-02-03 02:29:09,PAID,2026-02-03
117,3.0,13.0,3,75.14,2026-02-07 12:27:25,PAID,2026-02-07
118,15.0,25.0,5,59.26,2026-02-01 22:02:17,CANCELLED,2026-02-01
119,27.0,10.0,4,9.09,2026-02-09 13:39:24,PAID,2026-02-09
120,62.0,15.0,4,18.85,2026-02-05 13:41:09,PAID,2026-02-05
121,29.0,17.0,5,111.35,2026-02-04 03:06:42,PAID,2026-02-04
122,24.0,19.0,3,69.32,2026-02-01 23:50:48,PAID,2026-02-01
123,74.0,28.0,3,114.97,2026-02-07 00:00:38,PAID,2026-02-07
124,12.0,30.0,1,46.75,2026-02-01 15:39:49,PAID,2026-02-01
125,23.0,20.0,1,30.5,2026-02-08 03:36:15,PAID,2026-02-08
126,22.0,17.0,5,9.54,2026-02-05 17:22:00,PAID,2026-02-05
127,11.0,9.0,5,30.0,2026-02-07 03:59:23,PAID,2026-02-07
128,37.0,9.0,5,52.77,2026-02-07 18:37:04,PAID,2026-02-07
129,59.0,14.0,2,111.03,2026-02-07 01:27:53,PAID,2026-02-07
130,5.0,7.0,3,84.81,2026-02-07 16:11:09,REFUNDED,2026-02-07
131,6.0,4.0,5,25.5,2026-02-04 02:05:45,PAID,2026-02-04
132,32.0,16.0,5,91.25,2026-02-07 22:30:13,PAID,2026-02-07
133,79.0,12.0,4,85.34,2026-02-06 22:19:29,CANCELLED,2026-02-06
134,49.0,18.0,3,115.08,2026-02-01 19:59:47,PAID,2026-02-01
135,64.0,12.0,3,86.01,2026-02-09 01:27:52,CANCELLED,2026-02-09
136,56.0,2.0,2,64.24,2026-02-01 17:28:44,REFUNDED,2026-02-01
137,1.0,18.0,1,33.25,2026-02-09 20:13:27,PAID,2026-02-09
138,45.0,6.0,2,54.35,2026-02-07 07:03:04,PAID,2026-02-07
139,69.0,3.0,0,75.66,2026-02-09 05:25:36,CANCELLED,2026-02-09
140,53.0,15.0,1,12.53,2026-02-05 17:23:42,PAID,2026-02-05
141,11.0,29.0,1,51.09,2026-02-06 13:49:25,PAID,2026-02-06
142,63.0,24.0,1,73.87,2026-02-07 02:09:22,PAID,2026-02-07
143,14.0,21.0,4,90.54,2026-02-04 07:09:00,PAID,2026-02-04
144,73.0,30.0,3,108.34,2026-02-05 22:19:53,PAID,2026-02-05
145,37.0,10.0,3,110.23,2026-02-03 17:43:38,PAID,2026-02-03
146,36.0,11.0,1,111.51,2026-02-05 03:25:18,PAID,2026-02-05
147,55.0,24.0,-1,26.22,2026-02-01 18:03:43,PAID,2026-02-01
148,67.0,5.0,3,78.03,2026-02-02 06:19:27,PAID,2026-02-02
149,47.0,29.0,2,75.1,2026-02-06 23:40:32,PAID,2026-02-06
150,34.0,5.0,4,36.27,2026-02-09 03:55:09,PAID,2026-02-09
151,7.0,27.0,2,48.64,2026-02-08 12:09:09,PAID,2026-02-08
152,38.0,2.0,0,67.96,2026-02-09 01:40:49,CANCELLED,2026-02-09
153,75.0,11.0,4,35.76,2026-02-06 03:19:44,PAID,2026-02-06
154,54.0,6.0,4,20.17,2026-02-08 11:44:23,PAID,2026-02-08
155,58.0,17.0,5,67.47,2026-02-05 08:02:17,PAID,2026-02-05
156,68.0,8.0,-1,115.62,2026-02-03 02:54:45,PAID,2026-02-03
157,4.0,3.0,2,30.69,2026-02-02 03:39:21,PAID,2026-02-02
158,65.0,2.0,4,97.4,2026-02-02 08:27:29,PAID,2026-02-02
159,64.0,6.0,1,59.67,2026-02-03 22:11:49,PAID,2026-02-03
160,49.0,27.0,3,75.41,2026-02-01 05:09:18,PAID,2026-02-01
161,69.0,30.0,3,9.01,2026-02-08 06:30:05,PAID,2026-02-08
162,3.0,11.0,4,34.94,2026-02-02 12:45:31,PAID,2026-02-02
163,57.0,1.0,4,77.92,2026-02-03 00:00:19,PAID,2026-02-03
164,47.0,23.0,4,66.37,2026-02-05 01:32:11,PAID,2026-02-05
165,42.0,18.0,3,104.86,2026-02-03 09:19:17,PAID,2026-02-03
166,24.0,30.0,3,98.59,2026-02-06 18:54:35,PAID,2026-02-06
167,39.0,11.0,1,35.12,2026-02-02 22:10:57,PAID,2026-02-02
168,61.0,9.0,5,92.37,2026-02-05 23:08:16,PAID,2026-02-05
169,79.0,14.0,5,76.68,2026-02-02 23:21:34,PAID,2026-02-02
170,61.0,3.0,1,105.41,2026-02-04 22:31:33,PAID,2026-02-04
171,28.0,21.0,2,42.74,2026-02-04 12:55:11,PAID,2026-02-04
172,30.0,9.0,1,47.84,2026-02-04 07:49:48,PAID,2026-02-04
173,41.0,3.0,1,113.29,2026-02-01 16:25:17,PAID,2026-02-01
174,32.0,16.0,1,26.89,2026-02-05 05:08:49,PAID,2026-02-05
175,59.0,16.0,4,118.26,2026-02-09 17:33:17,PAID,2026-02-09
176,62.0,,4,78.78,2026-02-07 00:26:35,PAID,2026-02-07
177,66.0,10.0,5,17.64,2026-02-08 04:31:16,PAID,2026-02-08
178,15.0,10.0,5,102.06,2026-02-07 02:48:19,PAID,2026-02-07
179,60.0,21.0,3,105.11,2026-02-05 11:45:33,PAID,2026-02-05
180,5.0,24.0,2,91.19,2026-02-02 10:07:20,PAID,2026-02-02
181,12.0,4.0,5,43.52,2026-02-06 14:55:50,PAID,2026-02-06
182,11.0,10.0,2,75.29,2026-02-02 16:50:44,PAID,2026-02-02
183,55.0,27.0,2,55.01,2026-02-08 05:03:09,PAID,2026-02-08
184,59.0,25.0,3,117.97,2026-02-05 12:25:33,PAID,2026-02-05
185,51.0,26.0,2,33.28,2026-02-01 13:09:37,PAID,2026-02-01
186,76.0,8.0,3,62.12,2026-02-06 10:41:43,CANCELLED,2026-02-06
187,14.0,9.0,1,81.16,2026-02-07 09:12:38,PAID,2026-02-07
188,30.0,8.0,1,88.72,2026-02-01 03:38:11,PAID,2026-02-01
189,,29.0,3,67.63,2026-02-04 23:40:01,PAID,2026-02-04
190,33.0,21.0,2,62.15,2026-02-04 08:49:10,CANCELLED,2026-02-04
191,16.0,4.0,5,68.28,2026-02-03 00:07:35,PAID,2026-02-03
192,61.0,20.0,1,-71.55,2026-02-09 06:12:48,PAID,2026-02-09
193,45.0,1.0,1,80.65,2026-02-09 10:18:00,PAID,2026-02-09
194,53.0,23.0,4,119.61,2026-02-02 17:37:34,REFUNDED,2026-02-02
195,14.0,27.0,4,114.74,2026-02-06 17:44:19,CANCELLED,2026-02-06
196,80.0,3.0,4,89.68,2026-02-05 20:36:15,PAID,2026-02-05
197,8.0,11.0,3,96.14,2026-02-08 22:29:14,PAID,2026-02-08
198,55.0,26.0,3,20.03,2026-02-05 07:22:14,PAID,2026-02-05
199,77.0,17.0,4,88.77,2026-02-01 09:42:43,PAID,2026-02-01
200,6.0,14.0,4,92.46,2026-02-05 17:31:47,PAID,2026-02-05
201,36.0,15.0,2,95.25,2026-02-04 22:51:12,PAID,2026-02-04
202,34.0,8.0,1,104.57,2026-02-09 13:57:41,CANCELLED,2026-02-09
203,40.0,17.0,2,26.41,2026-02-02 15:10:57,PAID,2026-02-02
204,3.0,17.0,2,28.5,2026-02-04 23:39:39,PAID,2026-02-04
205,66.0,21.0,1,29.84,2026-02-09 18:55:37,PAID,2026-02-09
206,20.0,9.0,2,107.16,2026-02-03 14:04:32,PAID,2026-02-03
207,48.0,25.0,1,96.9,2026-02-09 13:12:08,PAID,2026-02-09
208,1.0,29.0,2,107.0,2026-02-02 21:29:09,PAID,2026-02-02
209,76.0,23.0,1,18.82,2026-02-02 04:35:51,PAID,2026-02-02
210,22.0,5.0,1,96.35,2026-02-04 10:59:59,CANCELLED,2026-02-04
211,3.0,3.0,2,67.58,2026-02-01 19:29:55,REFUNDED,2026-02-01
212,29.0,4.0,1,69.54,2026-02-01 19:52:52,PAID,2026-02-01
213,61.0,5.0,5,75.5,2026-02-02 14:50:04,PAID,2026-02-02
214,66.0,25.0,5,-88.9,2026-02-02 03:51:40,PAID,2026-02-02
215,58.0,21.0,5,15.87,2026-02-06 23:26:25,PAID,2026-02-06
216,8.0,2.0,2,118.61,2026-02-07 01:00:28,PAID,2026-02-07
217,24.0,13.0,2,26.99,2026-02-06 09:34:40,PAID,2026-02-06
218,48.0,24.0,1,16.39,2026-02-07 15:58:07,REFUNDED,2026-02-07
219,40.0,5.0,1,115.28,2026-02-08 17:49:55,PAID,2026-02-08
220,62.0,1.0,1,70.55,2026-02-08 21:09:38,PAID,2026-02-08
221,11.0,19.0,1,21.78,2026-02-01 14:24:37,PAID,2026-02-01
222,38.0,15.0,3,117.25,2026-02-01 18:21:42,REFUNDED,2026-02-01
223,20.0,25.0,3,45.53,2026-02-09 05:07:05,CANCELLED,2026-02-09
224,35.0,29.0,2,22.44,2026-02-07 05:27:01,PAID,2026-02-07
225,54.0,28.0,4,111.99,2026-02-06 13:49:42,PAID,2026-02-06
226,26.0,1.0,3,28.03,2026-02-05 20:52:55,PAID,2026-02-05
227,52.0,24.0,3,5.49,2026-02-02 19:29:23,PAID,2026-02-02
228,72.0,26.0,1,22.41,2026-02-07 12:44:20,PAID,2026-02-07
229,31.0,27.0,5,90.18,2026-02-07 14:05:13,PAID,2026-02-07
230,66.0,21.0,1,10.3,2026-02-09 15:59:25,PAID,2026-02-09
231,48.0,1.0,4,21.08,2026-02-06 03:14:48,PAID,2026-02-06
232,36.0,,3,57.94,2026-02-09 04:57:02,PAID,2026-02-09
233,67.0,29.0,1,8.17,2026-02-05 09:38:36,PAID,2026-02-05
234,51.0,4.0,3,17.8,2026-02-06 08:38:42,PAID,2026-02-06
235,21.0,5.0,4,7.48,2026-02-09 10:49:56,PAID,2026-02-09
236,34.0,30.0,1,77.75,2026-02-03 15:38:42,PAID,2026-02-03
237,38.0,1.0,2,111.31,2026-02-09 05:35:57,PAID,2026-02-09
238,36.0,14.0,4,40.71,2026-02-09 06:26:03,PAID,2026-02-09
239,50.0,23.0,1,18.49,2026-02-09 15:57:07,PAID,2026-02-09
240,24.0,20.0,1,118.95,2026-02-04 06:36:49,PAID,2026-02-04
241,61.0,15.0,4,-95.67,2026-02-09 00:16:38,CANCELLED,2026-02-09
242,37.0,27.0,3,42.31,2026-02-05 01:25:47,PAID,2026-02-05
243,43.0,28.0,1,6.86,2026-02-07 21:19:54,PAID,2026-02-07
244,4.0,14.0,5,106.78,2026-02-02 09:14:58,PAID,2026-02-02
245,15.0,13.0,1,35.37,2026-02-05 01:21:25,REFUNDED,2026-02-05
246,,17.0,4,52.09,2026-02-08 06:49:54,CANCELLED,2026-02-08
247,50.0,6.0,3,57.22,2026-02-04 02:44:50,PAID,2026-02-04
248,4.0,2.0,1,77.79,2026-02-04 22:07:47,PAID,2026-02-04
249,12.0,16.0,2,52.7,2026-02-07 20:38:39,PAID,2026-02-07
250,23.0,2.0,2,51.88,2026-02-08 05:13:19,PAID,2026-02-08
251,77.0,19.0,3,118.38,2026-02-07 10:47:25,PAID,2026-02-07
252,60.0,30.0,2,71.5,2026-02-04 13:38:53,PAID,2026-02-04
253,59.0,2.0,1,31.75,2026-02-04 05:58:18,CANCELLED,2026-02-04
254,38.0,5.0,3,87.1,2026-02-05 08:47:03,CANCELLED,2026-02-05
255,43.0,14.0,4,106.82,2026-02-02 04:42:24,PAID,2026-02-02
256,17.0,5.0,3,80.98,2026-02-03 05:53:25,REFUNDED,2026-02-03
257,12.0,7.0,5,28.06,2026-02-02 18:22:56,PAID,2026-02-02
258,23.0,13.0,4,85.05,2026-02-09 15:40:05,PAID,2026-02-09
259,37.0,2.0,4,10.17,2026-02-04 14:05:19,CANCELLED,2026-02-04
260,72.0,7.0,3,13.33,2026-02-06 14:32:47,PAID,2026-02-06
261,42.0,13.0,3,24.8,2026-02-01 20:58:11,PAID,2026-02-01
262,43.0,3.0,1,37.63,2026-02-09 05:41:47,PAID,2026-02-09
263,67.0,23.0,2,65.23,2026-02-01 18:30:35,PAID,2026-02-01
264,27.0,14.0,1,54.05,2026-02-03 02:08:12,PAID,2026-02-03
265,49.0,15.0,1,98.07,2026-02-08 06:52:34,PAID,2026-02-08
266,61.0,29.0,5,9.67,2026-02-07 16:31:59,PAID,2026-02-07
267,76.0,18.0,2,119.55,2026-02-07 17:51:43,PAID,2026-02-07
268,75.0,9.0,4,53.78,2026-02-09 16:30:13,CANCELLED,2026-02-09
269,10.0,18.0,3,43.03,2026-02-01 22:06:12,PAID,2026-02-01
270,41.0,12.0,3,30.31,2026-02-04 01:28:24,PAID,2026-02-04
271,12.0,7.0,3,89.68,2026-02-01 20:40:26,PAID,2026-02-01
272,35.0,8.0,3,109.75,2026-02-03 04:12:32,PAID,2026-02-03
273,79.0,17.0,1,116.78,2026-02-06 04:57:21,PAID,2026-02-06
274,32.0,1.0,2,97.4,2026-02-02 00:56:56,PAID,2026-02-02
275,7.0,16.0,3,28.59,2026-02-07 10:17:02,PAID,2026-02-07
276,31.0,29.0,5,95.17,2026-02-01 00:56:13,PAID,2026-02-01
277,57.0,,2,76.68,2026-02-07 22:11:39,PAID,2026-02-07
278,64.0,9.0,2,69.28,2026-02-08 15:43:02,PAID,2026-02-08
279,2.0,26.0,5,118.44,2026-02-02 09:34:18,PAID,2026-02-02
280,76.0,7.0,5,31.73,2026-02-04 13:15:49,PAID,2026-02-04
281,26.0,18.0,5,92.83,2026-02-07 03:08:37,PAID,2026-02-07
282,68.0,1.0,4,32.58,2026-02-01 19:14:27,PAID,2026-02-01
283,23.0,5.0,3,79.73,2026-02-05 02:16:47,PAID,2026-02-05
284,72.0,,4,19.28,2026-02-06 17:48:31,PAID,2026-02-06
285,46.0,16.0,2,107.75,2026-02-04 19:45:17,CANCELLED,2026-02-04
286,38.0,8.0,2,76.77,2026-02-04 17:40:34,PAID,2026-02-04
287,60.0,18.0,1,70.44,2026-02-02 22:06:07,PAID,2026-02-02
288,36.0,22.0,4,21.75,2026-02-06 03:53:24,PAID,2026-02-06
289,4.0,13.0,5,69.81,2026-02-04 04:32:42,PAID,2026-02-04
290,8.0,5.0,1,20.49,2026-02-02 18:53:43,PAID,2026-02-02
291,47.0,20.0,4,66.08,2026-02-09 05:55:06,PAID,2026-02-09
292,48.0,25.0,4,74.85,2026-02-02 05:23:53,PAID,2026-02-02
293,65.0,28.0,1,54.26,2026-02-09 17:41:41,PAID,2026-02-09
294,60.0,26.0,5,41.59,2026-02-08 09:02:30,PAID,2026-02-08
295,19.0,29.0,5,119.97,2026-02-05 07:18:44,CANCELLED,2026-02-05
296,53.0,23.0,4,-67.97,2026-02-03 03:37:02,PAID,2026-02-03
297,57.0,3.0,1,26.8,2026-02-07 17:09:08,PAID,2026-02-07
298,70.0,27.0,2,17.31,2026-02-02 21:43:49,CANCELLED,2026-02-02
299,63.0,14.0,1,11.15,2026-02-07 11:25:52,PAID,2026-02-07
300,50.0,9.0,4,97.4,2026-02-05 13:05:30,PAID,2026-02-05
301,52.0,17.0,4,53.63,2026-02-04 22:54:47,CANCELLED,2026-02-04
302,73.0,11.0,5,101.65,2026-02-08 21:24:55,CANCELLED,2026-02-08
303,17.0,27.0,2,20.03,2026-02-08 11:51:24,PAID,2026-02-08
304,50.0,14.0,1,88.81,2026-02-07 07:27:44,PAID,2026-02-07
305,2.0,20.0,5,35.87,2026-02-01 22:14:43,PAID,2026-02-01
306,31.0,21.0,5,75.26,2026-02-09 17:46:56,CANCELLED,2026-02-09
307,32.0,5.0,1,103.05,2026-02-09 15:25:32,PAID,2026-02-09
308,12.0,4.0,5,111.9,2026-02-05 13:07:02,CANCELLED,2026-02-05
309,22.0,12.0,4,49.62,2026-02-08 05:47:08,REFUNDED,2026-02-08
310,77.0,8.0,2,53.65,2026-02-02 04:49:42,PAID,2026-02-02
311,25.0,5.0,-1,69.02,2026-02-03 20:56:52,CANCELLED,2026-02-03
312,32.0,,4,85.11,2026-02-03 13:13:58,PAID,2026-02-03
313,9.0,25.0,3,46.57,2026-02-06 15:25:18,PAID,2026-02-06
314,71.0,17.0,5,16.29,2026-02-08 20:33:29,PAID,2026-02-08
315,34.0,19.0,2,73.86,2026-02-04 17:44:15,PAID,2026-02-04
316,48.0,14.0,5,105.78,2026-02-04 23:24:38,PAID,2026-02-04
317,57.0,30.0,3,66.51,2026-02-09 11:26:44,PAID,2026-02-09
318,19.0,27.0,1,40.34,2026-02-09 10:53:03,PAID,2026-02-09
319,48.0,26.0,5,17.55,2026-02-03 10:29:21,PAID,2026-02-03
320,66.0,11.0,4,49.97,2026-02-08 16:09:26,PAID,2026-02-08
321,68.0,11.0,3,64.51,2026-02-01 05:48:00,PAID,2026-02-01
322,48.0,21.0,4,107.54,2026-02-04 22:17:18,PAID,2026-02-04
323,37.0,13.0,4,9.09,2026-02-06 23:58:20,PAID,2026-02-06
324,25.0,22.0,3,59.32,2026-02-05 02:19:47,CANCELLED,2026-02-05
325,28.0,29.0,-1,86.12,2026-02-01 13:48:49,PAID,2026-02-01
326,2.0,8.0,2,55.39,2026-02-05 19:40:30,PAID,2026-02-05
327,10.0,1.0,3,94.53,2026-02-07 22:03:53,PAID,2026-02-07
328,71.0,28.0,2,96.78,2026-02-09 03:45:34,REFUNDED,2026-02-09
329,12.0,27.0,1,83.57,2026-02-07 18:56:45,CANCELLED,2026-02-07
330,1.0,9.0,4,18.7,2026-02-05 16:57:51,PAID,2026-02-05
331,77.0,17.0,3,58.89,2026-02-07 20:26:35,PAID,2026-02-07
332,61.0,28.0,3,71.92,2026-02-09 22:46:22,CANCELLED,2026-02-09
333,68.0,27.0,2,7.7,2026-02-09 07:03:01,REFUNDED,2026-02-09
334,29.0,17.0,2,102.37,2026-02-03 19:23:57,PAID,2026-02-03
335,33.0,13.0,4,49.65,2026-02-05 05:18:34,CANCELLED,2026-02-05
336,80.0,30.0,2,29.89,2026-02-01 20:12:09,PAID,2026-02-01
337,8.0,6.0,5,101.88,2026-02-01 03:45:42,PAID,2026-02-01
338,42.0,9.0,3,110.23,2026-02-05 19:09:31,PAID,2026-02-05
339,23.0,28.0,4,-25.27,2026-02-05 22:54:21,PAID,2026-02-05
340,19.0,18.0,1,47.57,2026-02-03 12:41:18,PAID,2026-02-03
341,55.0,23.0,3,104.14,2026-02-09 08:04:39,PAID,2026-02-09
342,10.0,3.0,4,5.04,2026-02-08 12:21:17,PAID,2026-02-08
343,71.0,15.0,2,49.79,2026-02-06 12:37:18,PAID,2026-02-06
344,39.0,7.0,5,69.24,2026-02-04 06:40:13,PAID,2026-02-04
